-23.2018,-45.8996
-23.1977,-45.8915
-23.1984,-45.902
-23.2039,-45.8943
-23.2037,-45.8989
-23.1993,-45.9004
-23.1998,-45.9009
-23.2019,-45.8946
-23.1998,-45.8988
-23.2008,-45.8958
-23.2012,-45.8944
-23.2019,-45.9029
-23.1975,-45.9016
-23.2018,-45.8922
-23.2003,-45.8923
-23.2004,-45.9015
-23.2019,-45.8948
-23.1971,-45.8934
-23.197,-45.902
-23.2004,-45.8922
-23.199,-45.902
-23.2036,-45.8976
-23.202,-45.8945
-23.2026,-45.9009
-23.1997,-45.8921
-23.1987,-45.8999
-23.1983,-45.8932
-23.2024,-45.8991
-23.2037,-45.8956
-23.2035,-45.8969
-23.1965,-45.8999
-23.2013,-45.9023
-23.1977,-45.9029
-23.2,-45.8949
-23.1997,-45.9008
-23.2032,-45.8968
-23.1996,-45.8981
-23.1974,-45.8926
-23.2015,-45.8928
-23.2023,-45.9003
-23.1965,-45.899
-23.199,-45.8928
-23.1988,-45.8918
-23.2009,-45.8952
-23.2028,-45.8926
-23.1992,-45.8985
-23.2033,-45.8935
-23.201,-45.8986
-23.2003,-45.8983
-23.1967,-45.899
-23.1978,-45.8946
-23.1971,-45.8997
-23.2013,-45.9013
-23.1965,-45.8953
-23.1975,-45.8957
-23.1967,-45.9016
-23.1992,-45.8936
-23.1997,-45.9012
-23.1974,-45.9001
-23.2036,-45.8989
-23.2023,-45.9018
-23.1967,-45.9029
-23.2017,-45.8929
-23.204,-45.8931
-23.1998,-45.8938
-23.2017,-45.9001
-23.198,-45.9011
-23.2,-45.8931
-23.1988,-45.895
-23.1988,-45.8934
-23.2038,-45.8985
-23.2003,-45.894
-23.2034,-45.8987
-23.2015,-45.8961
-23.2011,-45.896
-23.1981,-45.8938
-23.197,-45.9029
-23.1971,-45.8956
-23.2025,-45.8932
-23.2005,-45.899
-23.2037,-45.897
-23.2017,-45.8988
-23.198,-45.8997
-23.199,-45.8978
-23.203,-45.8997
-23.201,-45.9021
-23.2033,-45.8952
-23.1977,-45.8989
-23.199,-45.9014
-23.2022,-45.8947
-23.2018,-45.8963
-23.1968,-45.8978
