latitude,longitude
-23.172063245459526,-45.89399650128176
-23.158659169292534,-45.89596054663971
-23.174972586728963,-45.87586117671291
-23.181087655273497,-45.88102515833951
-23.188295211498314,-45.865468651966914
-23.189473410576074,-45.87822971729381
-23.167233279592903,-45.836218963941654
-23.1824756072936,-45.86230835422113
-23.207847668813145,-45.856339853913504
-23.213677229260266,-45.846892023391476
-23.20861197745203,-45.91416831021584
-23.221818279245515,-45.90883424156148
-23.207777381005595,-45.89595408665535
-23.203584664006215,-45.896417714782636
-23.200038351529216,-45.90887306826612
-23.19276071804523,-45.91300407397401
